Name,ParentName,ID,parentID,children_1,children_2,children_3,length_mm,radius_mm,thickness_mm,A0_m2,YMod_Pa,beta_Pam
A,Root,1,0,2,3,,23.464,3.2482,0.5,3.31463259482554e-05,700000,24954353.3637432
B,A,2,1,,,,20.4369,0.8764,0.2,2.41298493492758e-06,700000,137115672.534839
C,A,3,1,4,5,6,32.1732,2.9478,0.5,2.729894740053e-05,700000,30299524.6771498
D,C,4,3,,,,11.5309,0.6494,0.2,1.32487358484524e-06,700000,249728016.28291
E,C,5,3,7,8,,13.3801,2.3517,0.39,1.73745558339546e-05,700000,37133219.8587065
N,C,6,3,15,16,,34.1625,2.9348,0.2,2.70586978722579e-05,700000,12227419.5798699
F,E,7,5,,,,7.03849,0.721,0.2,1.63312866663477e-06,700000,202591540.353521
G,E,8,5,9,10,,68.9411,2.3517,0.2,1.73745558339546e-05,700000,19042676.8506187
H,G,9,8,,,,27.5798,0.7624,0.2,1.82606254228744e-06,700000,181186593.836253
I,G,10,8,11,12,,28.7928,2.0961,0.2,1.38030120982894e-05,700000,23969989.2902385
J,I,11,10,,,,23.4589,0.5811,0.2,1.0608442422207e-06,700000,311881838.069304
K,I,12,10,13,14,,119.82,2.0961,0.2,1.38030120982894e-05,700000,23969989.2902385
L,K,13,12,,,,19.0812,0.4814,0.2,7.28051405435114e-07,700000,454443257.301722
M,K,14,12,,,,164.344,1.1336,0.5,4.0371003722392e-06,700000,204885946.386266
O,N,15,6,17,18,,54.1708,2.1,0.5,1.3854423602331e-05,700000,59702601.433625
X,N,16,6,25,26,,35.5623,2.0329,0.2,1.29832046988758e-05,700000,25483542.7648829
P,O,17,15,,,,15.6091,0.7453,0.5,1.74506703721817e-06,700000,473990461.559079
Q,O,18,15,19,20,,19.0295,1.9015,0.2,1.13590636261681e-05,700000,29127229.414124
R,Q,19,18,,,,24.4533,0.4522,0.5,6.42408071114484e-07,700000,1287569642.43553
S,Q,20,18,21,22,,26.737,1.9015,0.2,1.13590636261681e-05,700000,29127229.414124
T,S,21,20,,,,13.1098,0.5576,0.5,9.76776950686594e-07,700000,846810656.047073
U,S,22,20,23,24,,44.85125,1.7774,0.2,9.92476481919861e-06,700000,33336613.8338123
V,U,23,22,,,,11.6637,0.6321,0.5,1.25522463279479e-06,700000,658961837.436949
W,U,24,22,,,,145.77975,1.1768,0.45,4.35066047304729e-06,700000,171107495.515251
Y,X,25,16,,,,27.9937,1.061,0.2,3.53655682359176e-06,700000,93553721.5072957
Z,X,26,16,27,28,,41.2314,1.9865,0.45,1.23972971663264e-05,700000,60047815.8579874
AA,Z,27,26,,,,10.5341,0.6305,0.2,1.24887811297971e-06,700000,264924213.76465
BB,Z,28,26,29,30,,121.4083,1.9865,0.45,1.23972971663264e-05,700000,60047815.8579874
CC,BB,29,28,,,,5.13946,0.4791,0.2,7.21111156024436e-07,700000,458816992.921155
DD,BB,30,28,31,32,,36.432,1.5492,0.45,7.53988721108787e-06,700000,98732328.0228364
EE,DD,31,30,,,,31.2903,0.78,0.2,1.91134497044403e-06,700000,173102217.174416
FF,DD,32,30,,,,40.736,0.9666,0.45,2.93523889943063e-06,700000,253618408.206814
